RESIDENT,HOWCANITHENRETURNINH,YSOKD RVMYI FZHXH KEMFP 
WINDINGS,WHENINDISGRACEWITHFO,SPRQQ AJAOO EDKRC APPSR 
GOODHOPE,WHENTOTHESESSIONSOFS,CVSQA CILKG SVZWD RYCTV 
GARDENER,THYBOSOMISENDEAREDWI,ZHPES FSDOS VQHRE IKDNL 
POTTERED,IFTHOUSURVIVEMYWELLC,XTMAS LWXGJ BOIDC ZTZEV 
DISORDER,FULLMANYAGLORIOUSMOR,ICDZD DRPDO DCILS LVUGF 
MARKETER,WHYDIDSTTHOUPROMISES,IHPNM WWKFH FETKS DUSVC 
ACCURACY,NOMOREBEGRIEVEDATTHA,NQOII EDCGT KYMEF YTVJU 
WEREWOLF,LETMECONFESSTHATWETW,HIKQA QZSBI JWPVL YSIKA 
TELETHON,ASADECREPITFATHERTAK,TWLHX JFRIM EJTAV RKXLO 
BORSTALS,HOWCANMYMUSEWANTSUBJ,ICNUT NXQNI JWPAY LTISB 
FUNCTION,OHOWTHYWORTHWITHMANN,TBBYM PMJTL GJPQH URUAP 
SWASTIKA,TAKEALLMYLOVESMYLOVE,LWKWT TVMQH ONXAW YDKVW 
GATEWAYS,THOSEPETTYWRONGSTHAT,ZHHWA PCLZY PVKNE KZHTX 
POLECATS,THATTHOUHASTHERITISN,IVLXV HHMWO DXJEK AIWDR 
URETHRAE,WHENMOSTIWINKTHENDOM,QYIGT FSXCN MGRKH IHUSF 
SIDELONG,IFTHEDULLSUBSTANCEOF,ANWLP RHRDA XFDHN TUMRJ 
PRIORITY,THEOTHERTWOSLIGHTAIR,IYMCK PXPIN WGCQZ FIRQF 
TRANSMIT,MINEEYEANDHEARTAREAT,FZNRW KMTGU HRSDB TKVAG 
SPONGING,BETWIXTMINEEYEANDHEA,TTHJO FGSAC SREMN TVWSN 
STEERAGE,HOWCAREFULWASIWHENIT,ZHAGR RKJME AEJIC LWGMX 
TRILLION,AGAINSTTHATTIMEIFEVE,TXITY AHGAR BETUS VYVDP 
CODPIECE,HOWHEAVYDOIJOURNEYON,JCZWM EXCFC LYWYT RGMRC 
MASTERLY,THUSCANMYLOVEEXCUSET,FHMLG RYKKL GOIVI AGSWM 
TRAMCARS,SOAMIASTHERICHWHOSEB,LFAYK AJLAV RUEHN ZHJEN 
RACIALLY,WHATISYOURSUBSTANCEW,NHCBI DJMLR UCBDE YECGE 
DELEGATE,OHOWMUCHMOREDOTHBEAU,RLZAS UVLPS CIJOM LEILY 
STEERING,NOTMARBLENORTHEGILDE,FHXQR ZORWG SVKPR MAEHI 
SCENARIO,SWEETLOVERENEWTHYFOR,KYIRT CWJWT IAENB VQHSE 
PRACTICE,BEINGYOURSLAVEWHATSH,QVIPZ GQYGJ LCOMY LPKSJ 
GERANIUM,THATGODFORBIDTHATMAD,ZLRTT WXRUV SIQBB MZQRD 
CREATURE,IFTHEREBENOTHINGNEWB,KWXHX LVFGE STACE KPVAB 
ABRASION,LIKEASTHEWAVESMAKETO,LJBES AHUEX RVWAA NKFKO 
EDGINESS,ISITTHYWILLTHYIMAGES,MVOBG LQOMO RBUCA EEJKA 
BAGGAGES,SINOFSELFLOVEPOSSESS,TITUF YIDGL UBEVS KTEYY 
RIBALDRY,AGAINSTMYLOVESHALLBE,ROBIY VKKPT PVPVY YCTCE 
PSALMODY,WHENIHAVESEENBYTIMES,LZEYU VDTTK EPZPB RXEED 
WORDIEST,SINCEBRASSNORSTONENO,OWEFM FJTOG ERZWL HJSER 
MENISCUS,TIREDWITHALLTHESEFOR,FMEMV YCLTE YTLJY KQJBZ 
FUNEREAL,AHWHEREFOREWITHINFEC,FBJLV VEQTL RAZXH TSZRG 
EXPLODES,THUSISHISCHEEKTHEMAP,XEJDW VLAWZ WPSNX ZIJPA 
LEGACIES,THOSEPARTSOFTHEETHAT,ELUSG XEJEW UFVPI WELGT 
NORMALCY,THATTHOUARTBLAMEDSHA,GVRFT SQSNF KNLLO CQGYM 
MISDOING,NOLONGERMOURNFORMEWH,ZWDRB ORXYW MUBNB XYMOK 
APPEASER,OLESTTHEWORLDSHOULDT,OATWT LLVWD GPDKL FUASX 
SPECTRUM,THATTIMEOFYEARTHOUMA,LWEVM ZGQGU CGTIN TGJQC 
CROWNING,BUTBECONTENTEDWHENTH,DLHXR KBTVV BPRLJ NGEHD 
RAMIFIES,SOAREYOUTOMYTHOUGHTS,JOMZJ GSMKO YGYPS MXHFA 
SARDINES,WHYISMYVERSESOBARREN,OHPLA ZCNWR JHABF SJRVQ 
DECAGONS,THYGLASSWILLSHOWTHEE,WLAGR OFKZM NLYVB OWLGE 
AUTOMATE,SOOFTHAVEIINVOKEDTHE,SIHTF HTZEC BBHOD IDNAS 
PROCURES,WHILSTIALONEDIDCALLU,LYWNM KMSAF BGXZH UPCZW 
PURIFIER,OHOWIFAINTWHENIOFYOU,DBFEN NEZCN NPJVM FUSFC 
SUFFICED,ORISHALLLIVEYOUREPIT,GLNXP CPODC AJGQY UWJNY 
REQUIRED,IGRANTTHOUWERTNOTMAR,ZKHUV KXKFY MYZKR RKQQL 
SPUTNIKS,INEVERSAWTHATYOUDIDP,ACYOR ZCSOI BTGGY MVXXI 
DREARILY,WHOISITTHATSAYSMOSTW,ZYSIJ QERKR XSRGD KRJXW 
STYLISTS,MYTONGUETIEDMUSEINMA,ERRZV YNWLB COUML WAGKL 
HARRIERS,WASITTHEPROUDFULLSAI,DAJZB XYWWR FLLJL DSSRZ 
SOILINGS,FAREWELLTHOUARTTOODE,XOZPE RRDLV WFIEZ LGCLP 
FISHINGS,WHENTHOUSHALTBEDISPO,BPWUB UUMXP SSBOK VNAHV 
EXORCISM,SAYTHATTHOUDIDSTFORS,WXMKJ ILFLL IUKLK FJLFJ 
BAGPIPER,THENHATEMEWHENTHOUWI,UHKCP PXVNE CWMCX YPUCX 
ENGRAVES,SOMEGLORYINTHEIRBIRT,WBSVG GSJCV TKHZM JFVXK 
FOISTING,BUTDOTHYWORSTTOSTEAL,GIBVH BUEBC ZKMBB YYSID 
FOOTPADS,SOSHALLILIVESUPPOSIN,XCGAP LOAQW JXHUS HTGWG 
UNMARKED,THEYTHATHAVEPOWERTOH,NUQYK REWBN HEGYA HLGAH 
COMMANDS,HOWSWEETANDLOVELYDOS,JCIEW RHLCB PXOIH DARAE 
OVERSTEP,SOMESAYTHYFAULTISYOU,GJQVK TCIVT JRMEX XGTSL 
SQUASHED,HOWLIKEAWINTERHATHMY,ZEQLA RIDOY HTWYL DLXGY 
SPECKLED,FROMYOUHAVEIBEENABSE,XGSOI ZYKSK IKLPI QSQWG 
ARMOURER,THEFORWARDVIOLETTHUS,TYQTI IARRU HWICI KTYGG 
HEADIEST,WHEREARTTHOUMUSETHAT,DLEUM EJMAL OXUYK XALAW 
ROSETTES,OTRUANTMUSEWHATSHALL,FHJYT GXELG WAATX KYODP 
LAYERING,MYLOVEISSTRENGTHENDT,XYJSM MVYDT PIEOG NPNBX 
SCIENCES,ALACKWHATPOVERTYMYMU,SNIGX YLSLR WZRTX QEAUY 
HOPEFULS,TOMEFAIRFRIENDYOUNEV,ACBIK UTJMF XISXJ GBBTZ 
DOGFIGHT,LETNOTMYLOVEBECALLDI,OSZSW ZTROC BJJKJ TOZJN 
HOMOTOPY,WHENINTHECHRONICLEOF,DVQBB BIFLQ TFHBX ASSAT 
EDUCATED,WHENINTHECHRONICLEOF,AKYPI GXKIF BTOGM FPHIH 
ABERDEEN,NOTMINEOWNFEARSNORTH,NPXDL RIBWO JVDVW AOSXY 
ATTENDER,WHATSINTHEBRAINTHATI,WATXF LRKHX UVNLR KHTMM 
CONCEDES,ONEVERSAYTHATIWASFAL,QBRXI UWSAH UCXLA SUTNN 
BALANCES,ALASTISTRUEIHAVEGONE,BLLSG KWLSU PIUCZ WHOYE 
DEPARTED,OFORMYSAKEDOYOUWITHF,RJDRD RWDNI SOPHY ZLXWF 
FAMISHED,YOURLOVEANDPITYDOTHT,DOGZD VZHFN PXAAC GTTTB 
RESOUNDS,SINCEILEFTYOUMINEEYE,JMFQY VOWWX QCOZL FVIQS 
SHADINGS,ORWHETHERDOTHMYMINDB,GYWKM GNWJK OWPZE EAUDE 
CONTRIVE,THOSELINESTHATIBEFOR,VVBLV TDRGG GARBD FGTBK 
NIHILISM,LETMENOTTOTHEMARRIAG,YMAUP VGFGW APPUS DEQHO 
BEACHING,ACCUSEMETHUSTHATIHAV,BGCWZ MZKUL UUAPN ZJLAX 
PRESUMES,LIKEASTOMAKEOURAPPET,AZOWU EXGBR OWIGV SEGIL 
TROUBLES,WHATPOTIONSHAVEIDRUN,PYONQ ZXAHE GBBGI AWIIH 
MENACING,THATYOUWEREONCEUNKIN,FLNTA WHCQV ROPKR AZOVN 
RINGSIDE,TISBETTERTOBEVILETHA,KQFHW BWIIB BHWDL PVBUG 
UMBRELLA,THYGIFTTHYTABLESAREW,NTZXM QETBK URFWP SUDFN 
TWITCHES,NOTIMETHOUSHALTNOTBO,GKBBO LXZHQ AACSX FHPJH 
TRIMMERS,IFMYDEARLOVEWEREBUTT,BWUKP IRJEF DQIII WULBF 
TEETERED,WERETAUGHTTOMEIBORET,PIVXX RYJAX XHQVM EHVIM 
HOARSELY,OTHOUMYLOVELYBOYWHOI,VHHFM QJJVJ ECQFZ WDVOZ 
INSERTED,INTHEOLDAGEBLACKWASN,QALLV HPGIT WFCTG NENKR 
NEARNESS,HOWOFTWHENTHOUMYMUSI,USWFS XOZRR TYBYE QZYSZ 
FORENAME,THEEXPENSEOFSPIRITIN,YVVIK PQRXS FJFPU VNHZR 
QUAYSIDE,MYMISTRESSEYESARENOT,CSMGK BUIIM EWWAD VUHOR 
BOUDOIRS,THOUARTASTYRANNOUSSO,UVIXO ZKSTH SUOVE GVGMR 
UNBURDEN,THINEEYESILOVEANDTHE,NUJHV HCRMV MIMHE AXGIY 
UNCARING,BESHREWTHATHEARTTHAT,VRUHI MJZBN VHVIE ZNUCT 
NOTATION,SONOWIHAVECONFESSDTH,FCGOP QVNIS VOGNS FFRMH 
NESTLING,WHOEVERHATHHERWISHTH,JLGXG MENNX ZAPZJ OFLLA 
PANTRIES,IFTHYSOULCHEQUETHEET,XFGAP ASMAC UXHCI LWERM 
MEMORIES,THOUBLINDFOOLLOVEWHA,FLAIS TMFPJ ACCTS NQATO 
HASTIEST,WHENMYLOVESWEARSTHAT,DHWGU CDHCE KPMEJ LAHSM 
SHALLOWS,OCALLNOTMETOJUSTIFYT,GJAWW BKLEL TZUIO LAMYE 
LEGALITY,BEWISEASTHOUARTCRUEL,MICID MTQEL UULZM ACYKL 
WATCHFUL,INFAITHIDONOTLOVETHE,ENYCP YBTZO GQAQI GATAG 
ATYPICAL,LOVEISMYSINANDTHYDEA,LHTTQ UMJSB LPVFT SYWCP 
GRAVELLY,LOASACAREFULHOUSEWIF,RFANE NLPKW UGLZF QKNIA 
WORDPLAY,TWOLOVESIHAVEOFCOMFO,PKFOD GEQEV RYTZF AKAWR 
WILDFIRE,THOSELIPSTHATLOVESOW,PPZVJ TZTOB SDYTF ZAAZZ 
HUNGRILY,POORSOULTHECENTREOFM,WIBXJ WFJAB RIVVE PLISS 
ITEMISED,MYLOVEISASAFEVERLONG,URPAD WMVIL ERMNI UTHRS 
FUMBLING,OMEWHATEYESHATHLOVEP,TGQXS IGKDY EILBU RTPQQ 
BEANPOLE,CANSTTHOUOCRUELSAYIL,DENFI HSSVS CEJSW WBCIY 
RETAKING,OFROMWHATPOWERHASTTH,FJKOW EUGKT HWOZU GJXMH 
AUGUSTUS,LOVEISTOOYOUNGTOKNOW,LIBYA LNGOS UOFZN GKHUQ 
AFFINITY,INLOVINGTHEETHOUKNOW,ISQWI QGETM JMGPH SKSTE 
REVOLVES,CUPIDLAIDBYHISBRANDA,TYKWO GEAUF TVTNF JRRYO 
DOORWAYS,THELITTLELOVEGODLYIN,WVSCE TRDHZ CMAGM VOMWE 
BOYSCOUT,FROMFAIRESTCREATURES,GFMEH OCKFG RUTSU MVFCK 
FRESHMAN,WHENFORTYWINTERSSHAL,BYIFM ARGDN MFAQR FXYED 
ROUNDEST,LOOKINTHYGLASSANDTEL,CCIXL RLAPU FNVWS GUHYY 
HOTHEADS,UNTHRIFTYLOVELINESSW,BBMOV IILFZ HCILL FLGLD 
EXORCIST,THOSEHOURSTHATWITHGE,XECJG PGNVP HYCBO BXEUV 
ENTRANCE,THENLETNOTWINTERSRAG,XUXEL RVRSG PZNGG VWETX 
HERMETIC,LOINTHEORIENTWHENTHE,SSZZX AMQYM VZXPP GUXYQ 
SHILLING,MUSICTOHEARWHYHEARST,EBATN BBNWH ZHSGU KSYAE 
FOOTFALL,ISITFORFEARTOWETAWID,NGWMK OCQJO FMTWP EFKWW 
VIBRATED,FORSHAMEDENYTHATTHOU,AWSJH TQHYM OPTAE WOPPL 
PANELLED,ASFASTASTHOUSHALTWAN,PSSED EEVIH BYDSE OIWNR 
BEGGARED,WHENIDOCOUNTTHECLOCK,XLKTI USFPY TZTYI FMSIQ 
PATCHING,OTHATYOUWEREYOURSELF,DTACA GBALE KGFWH XHEEH 
TASTINGS,NOTFROMTHESTARSDOIMY,GOLYZ BSLAE KMIEY VHIER 
MISHEARS,WHENICONSIDEREVERYTH,IPWUM CFFEQ VLVEM WDGLO 
OCCLUDES,BUTWHEREFOREDONOTYOU,PWVHB HVWTQ TPXRR GHAQF 
SUGGESTS,WHOWILLBELIEVEMYVERS,OBUCM DETWF OKZWF QNYXY 
BLACKEST,SHALLICOMPARETHEETOA,TSANV MUHNA ATOXZ XFEOC 
ANOREXIC,DEVOURINGTIMEBLUNTTH,DRJFY OQPGG WDIYT WNGHY 
FINANCES,AWOMANSFACEWITHNATUR,FEBMN PWXFK RWVVL FFBHR 
PROVOKER,SOISITNOTWITHMEASWIT,HFWNW DRFIN WOVWI RHNWO 
TELECOMS,MYGLASSSHALLNOTPERSU,FCRPC GEKAE WPPCF HXVDY 
GARISHLY,ASANUNPERFECTACTORON,GSRVM UACXF VKLHN RURFV 
TOENAILS,MINEEYEHATHPLAYDTHEP,FWRRE GPZTH LCLIJ VMVIC 
SPARKLED,LETTHOSEWHOAREINFAVO,DTTKR ZWHOW ORBPM QXPVF 
DISLODGE,LORDOFMYLOVETOWHOMIN,OWJOC ISCOW NPHRC LRUAY 
TROLLING,WEARYWITHTOILIHASTEM,PVOCJ EVZAK CTWQU GLKSX 
RETAILED,HOWCANITHENRETURNINH,YSPCI YMWYI GRMEY UEMGH 
BLEEDING,WHENINDISGRACEWITHFO,XSIRL VQOTR VEFMJ OUSJS 
SNIFFING,WHENTOTHESESSIONSOFS,OUMSY WGNWF MXXQB TKBNX 
STOOPING,THYBOSOMISENDEAREDWI,LAMPD ABSAL SBSMN XWWKW 
GAUNTLET,IFTHOUSURVIVEMYWELLC,OFNUH FWNXV CIXXC PKLFP 
REORDERS,FULLMANYAGLORIOUSMOR,WYZCP EEQRK ZFUMF MJQCI 
MARMOSET,WHYDIDSTTHOUPROMISES,IHPPW VWMFH FGDJS FUSVE 
TRIMODAL,NOMOREBEGRIEVEDATTHA,GFUAF HBPZI QQJHD LMKPM 
SWEEPERS,LETMECONFESSTHATWETW,DAXQT GFFXA WWILR LOAXA 
WHISKERS,ASADECREPITFATHERTAK,WZIVO GIWLP BXKXY WNAIC 
REARWARD,HOWCANMYMUSEWANTSUBJ,YSWTW NDBDY SVSAE WJYBA 
HATCHWAY,OHOWTHYWORTHWITHMANN,VHHYA DYUVR MJDET FTAGP 
SKIRTING,TAKEALLMYLOVESMYLOVE,LKSVT TYSQV WMXAZ EDYDV 
TROPICAL,THOSEPETTYWRONGSTHAT,MYCHM REEMP KGWPG DMYOI 
CLASSING,THATTHOUHASTHERITISN,VSALL PBAJL SLZME OVTSF 
GREENFLY,WHENMOSTIWINKTHENDOM,CYIRZ TDRON MRXYS CTUSQ 
RICKSHAS,IFTHEDULLSUBSTANCEOF,ZNVRW KUDCA WLKAA FTMQP 
CONJURES,THEOTHERTWOSLIGHTAIR,VVRXN YIJVK BBFZK ZVOVA 
FLAPPERS,MINEEYEANDHEARTAREAT,RTNTT CVSSO HTPVK SWPAI 
VENETIAN,BETWIXTMINEEYEANDHEA,WIGAB FTZDR RIRMA AYLRE 
MOLEHILL,HOWCAREFULWASIWHENIT,TCHGH ZPQGZ HEZQH SQBTX 
POSEIDON,AGAINSTTHATTIMEIFEVE,PUSMV VHGWO LXQPS VUSNI 
MOUNTIES,HOWHEAVYDOIJOURNEYON,TCQUX IZQPC CWHCV FQMIA 
UNSTATED,THUSCANMYLOVEEXCUSET,NUMLC TRPSY GOEXB FOFWM 
BLUFFERS,SOAMIASTHERICHWHOSEB,TZURN EJLIP LNHLN ZPDYG 
ALLOCATE,WHATISYOURSUBSTANCEW,WSLHK SRSUC DIDSM ENNPK 
EXPANDER,OHOWMUCHMOREDOTHBEAU,SEDWZ XGYQL GEQRX YFBPU 
SPLICERS,NOTMARBLENORTHEGILDE,FDEUC VSDWC ZZVLV YAAOM 
LORDSHIP,SWEETLOVERENEWTHYFOR,DKVHL SWKPF VQWDB WJTFU 
COWGIRLS,BEINGYOURSLAVEWHATSH,DSETO PZMTG HGDVH ZCHON 
TRUEBLUE,THATGODFORBIDTHATMAD,MYUXH ZXJHI VMEEB EMDUH 
HOLDINGS,IFTHEREBENOTHINGNEWB,PTEKM EKTLB ZWPVT YUSHE 
BACKBONE,LIKEASTHEWAVESMAKETO,MIMOB GGLFW CFFGZ ELEVY 
MISTRUST,ISITTHYWILLTHYIMAGES,UAAMK BQPUT DMYSA FMOWL 
REVALUES,SINOFSELFLOVEPOSSESS,JMIOQ MIDWP JVPJS KJINS 
OUTFOXES,AGAINSTMYLOVESHALLBE,OATNB PXEMF HASPL SZFUJ 
STRAGGLY,WHENIHAVESEENBYTIMES,OAVNO NLTWL VETHJ RAFVS 
KINGSHIP,SINCEBRASSNORSTONENO,CQAIW IZPCA AUJZB DXMAU 
LEANINGS,TIREDWITHALLTHESEFOR,EMRRL JOLSE LYBUK KPJOE 
CHEMICAL,AHWHEREFOREWITHINFEC,COATM TEQQY IIQVH TPMIO 
VOYAGERS,THUSISHISCHEEKTHEMAP,OVSSO WYANQ FEKOK ZZAYP 
HANDMADE,THOSEPARTSOFTHEETHAT,AHBVQ PDVAS BIFHH IAHNW 
SHOELESS,THATTHOUARTBLAMEDSHA,LOOXE LGMSY HFWEE WVZVE 
AUTHORED,NOLONGERMOURNFORMEWH,NIEVB XIUMI NYBWS UMYPO 
PLEADING,OLESTTHEWORLDSHOULDT,DWISW BUKLZ VLGAU UJWHT 
HUGUENOT,THATTIMEOFYEARTHOUMA,ABGNX VAXVZ EYEEH AVOSU 
SCRAMBLE,BUTBECONTENTEDWHENTH,TWKBQ DZRLG ETQEH LWPKH 
PURSUITS,SOAREYOUTOMYTHOUGHTS,HIRJY GHMII DQNPH MVBKK 
EVERYONE,WHYISMYVERSESOBARREN,ACCZQ ALZIM WVQCO EVMIE 
CATEGORY,THYGLASSWILLSHOWTHEE,VHRKR OJQYI EPYVF UVHXI 
COMATOSE,SOOFTHAVEIINVOKEDTHE,UCAFM VSZGW UNOCC IFHTE 
SCRAWLED,WHILSTIALONEDIDCALLU,OJZLO EMDDQ EEZTH FSNCU 
PARALLAX,OHOWIFAINTWHENIOFYOU,DHFWT QAFCT NHPYI LUYFU 
DIACONAL,ORISHALLLIVEYOUREPIT,RZIUV NLWOQ VGMBU CHXIV 
GOALLESS,IGRANTTHOUWERTNOTMAR,OURLY XLZUI WPCXF GZAAC 
BUCKLERS,INEVERSAWTHATYOUDIDP,JHGFP VJSXN JKECF MECFZ 
STAMPEDE,WHOISITTHATSAYSMOSTW,OAOUH MWXZT TEPCV QGLTI 
AGONISTS,MYTONGUETIEDMUSEINMA,MEHBV YNWTO SQUML WITAN 
PROJECTS,WASITTHEPROUDFULLSAI,LRGRX VAWEI CDHHN DAJOR 
ACIDRAIN,FAREWELLTHOUARTTOODE,FCZHN ETYTJ WXRRB GOQLH 
MONOTONE,WHENTHOUSHALTBEDISPO,IVRBM VBYEV NZMPR HUGCC 
MAKEOVER,SAYTHATTHOUDIDSTFORS,EAIXV VXKTO EHWYW KROBW 
ATTESTED,THENHATEMEWHENTHOUWI,TAXRZ TXHMX PLWGX KONPM 
CAVITIES,SOMEGLORYINTHEIRBIRT,UOHMZ TSJAI IBAMM JDIMB 
SPINNING,BUTDOTHYWORSTTOSTEAL,TJBQB BUEOD ZFGBB YLTIY 
CATCALLS,SOSHALLILIVESUPPOSIN,UOLJA WWANI OGSFA HQSBP 
MENTALLY,THEYTHATHAVEPOWERTOH,FLRRT SLRTE IXPZH CDXBA 
FOODLESS,HOWSWEETANDLOVELYDOS,MCKVH IWLFB ROZZW DDRCV 
STURDILY,SOMESAYTHYFAULTISYOU,KHGVV IJRZR ZRXTE GKRIL 
MOLARITY,HOWLIKEAWINTERHATHMY,TCHLZ SXYIW YTVZA YFVXY 
TRAWLERS,FROMYOUHAVEIBEENABSE,YIOIJ SLZTM EEMIV FTSSA 
GATHERED,THEFORWARDVIOLETTHUS,ZHXMS IADXD OPSCI WZHNZ 
HOMESPUN,WHEREARTTHOUMUSETHAT,DVQVW PLGAV AYEJM RAVMX 
NOMINEES,OTRUANTMUSEWHATSHALL,BHDCN RXEHG QEUEX KUOXT 
UPWARDLY,MYLOVEISSTRENGTHENDT,GNHOM HTQMI NEEJE FYCZT 
LAWMAKER,ALACKWHATPOVERTYMYMU,LLWOK GLREP KHEBX PXYIG 
ENRICHED,TOMEFAIRFRIENDYOUNEV,XBDMH HMUJE ZMPKC RYAVD 
PLUGGING,LETNOTMYLOVEBECALLDI,APNTU BZEAZ PKHMP GAWXO 
HUDDLING,WHENINTHECHRONICLEOF,DBHQT VGNLW KUZVV ISYRI 
GESTURES,WHENINTHECHRONICLEOF,CLWGC EXZKG ZKIEM URIGY 
RESITING,NOTMINEOWNFEARSNORTH,ESLUB VRUNR XMTZF TFVLP 
POLICING,WHATSINTHEBRAINTHATI,LVLBU QAZWS MZCQA ZWOEQ 
CANADIAN,ONEVERSAYTHATIWASFAL,QNRVH ZSNAT UAWQW NUFNL 
GALAXIES,ALASTISTRUEIHAVEGONE,GLLSQ QWLXU PIEIZ WMOYE 
OUTFALLS,OFORMYSAKEDOYOUWITHF,CZHWM JDSYY WTYZF OWNAK 
SHOTGUNS,YOURLOVEANDPITYDOTHT,QVIKR IIWSU RIONL VGAVM 
FASTNESS,SINCEILEFTYOUMINEEYE,XIFVR MDWKT QHHQA FJEQX 
DRAFTERS,ORWHETHERDOTHMYMINDB,RIWMX XYWUU OYAQP ELEDG 
WASHINGS,THOSELINESTHATIBEFOR,PHGZM YOFAS LOIGO TAFGY 
ATTENDED,LETMENOTTOTHEMARRIAG,LXMQR QSWTH MLRPE URBTK 
DISGUSTS,ACCUSEMETHUSTHATIHAV,DKUAM WFWWP MYNZT LLPSB 
TEAMWORK,LIKEASTOMAKEOURAPPET,EMKQW GKYFE KQKII KITEF 
PREPARED,WHATPOTIONSHAVEIDRUN,LYEIP FXLDE WWAMI LSIYC 
FINALIST,THATYOUWEREONCEUNKIN,YPNTJ WMPJZ ROYKW NSSVN 
LUCKLESS,TISBETTERTOBEVILETHA,ECULP XLWCN QLPZA DPNJK 
GEOMETER,THYGIFTTHYTABLESAREW,ZLMSM YXKNC HMFEI JGVSI 
MISSPELT,NOTIMETHOUSHALTNOTBO,ZWLAB IEAAC KZPPE GABTG 
CABINETS,IFMYDEARLOVEWEREBUTT,KFNGQ ITJNO WMJIK WDUUB 
MARXISTS,WERETAUGHTTOMEIBORET,IEIBB SNYTT KLUWB TARVQ 
ALCOHOLS,OTHOUMYLOVELYBOYWHOI,OEJCB AJDOG GZFPZ QWSQW 
SPANGLES,INTHEOLDAGEBLACKWASN,ACTUK ZPVSV EORLG COPSA 
GROOMERS,HOWOFTWHENTHOUMYMUSI,NFKCR XNZKE HVAYD QSLGW 
KHOIKHOI,THEEXPENSEOFSPIRITIN,DOSMH WSVCL CNCWW ZSAWV 
TIPPLING,MYMISTRESSEYESARENOT,FGBXD BEKLA TNPAN XXVDI 
PORRIDGE,THOUARTASTYRANNOUSSO,IVFLI UZEHH PIIQT SJGJF 
URETHRAS,THINEEYESILOVEANDTHE,NYMGL VYWMZ PHCVA FXKLX 
TRIPLETS,BESHREWTHATHEARTTHAT,UVAWC IPLAR BWPEK LMYII 
CANOEING,SONOWIHAVECONFESSDTH,UOACA QUGXE PCRNR YUDGV 
FRECKLED,WHOEVERHATHHERWISHTH,BYSGF PVKFK LJOCA LXYXJ 
COUCHING,IFTHYSOULCHEQUETHEET,KTNJF ABANQ BGXCR ZJSYV 
LEADFREE,THOUBLINDFOOLLOVEWHA,ELOXG CMROJ ORQCS ZPAHD 
BICYCLES,WHENMYLOVESWEARSTHAT,XPGLO JPGWM UUGLV KUPCR 
SPRAINED,OCALLNOTMETOJUSTIFYT,GRRLT ASWET KORHW WAUPT 
DEVIANTS,BEWISEASTHOUARTCRUEL,EIRQS RTKWL JCAEM UUYZT 
MASSLESS,INFAITHIDONOTLOVETHE,UNXST XZAPO FGEPG NQTZW 
TIMELESS,LOVEISMYSINANDTHYDEA,EWHIT WEQLQ ZEYHL ZRLQE 
